head,n_rows,num_classes,unique_true_classes,unique_pred_classes,coverage_ratio,acc,V_oracle,V_mid,V_full,dV_LOS,dV_D,abs_dV_D,dV_total,js_LOS,js_D,js_total,support_min,support_max,run_name,run_type,los_scheme_eval,native_los_scheme
SERVICES_D,278828,8,8,8,1.0,0.9837498386101826,0.29014284998123946,0.4504150798395009,0.460061713862089,0.16027222985826145,0.009646634022588085,0.009646634022588085,0.16991886388084954,0.08391552046924539,0.0011219620615047828,0.09761298162939942,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
EMPLOY_D,278828,5,5,5,1.0,0.7872846342548094,0.11896370062936193,0.14899145317200446,0.1790870444595889,0.030027752542642533,0.030095591287584433,0.030095591287584433,0.060123343830226966,0.011116776264161526,0.004147857335600752,0.02032108398597786,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
LIVARAG_D,278828,4,4,4,1.0,0.8501585206650695,0.13843276572641683,0.24364132973445302,0.26156219548674114,0.10520856400803619,0.01792086575228813,0.01792086575228813,0.12312942976032432,0.019614867258621188,0.0014506535446246686,0.02584973358027963,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
ARRESTS_D,278828,4,4,4,1.0,0.8756401796089346,0.053967696139385714,0.10140635654884107,0.11302248479244799,0.04743866040945536,0.011616128243606916,0.011616128243606916,0.059054788653062275,0.011352771733316783,0.005432638491824574,0.019900326652189604,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
DETNLF_D,278828,6,6,6,1.0,0.8921055274219232,0.0595102451816982,0.10197166238103805,0.12320283289557418,0.04246141719933985,0.02123117051453613,0.02123117051453613,0.06369258771387598,0.004512543962086664,0.005336436991509462,0.008574292378064641,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
SUB1_D,278828,20,20,20,1.0,0.884907541566844,0.09096628629251499,0.16000839812980328,0.20051153398472094,0.06904211183728828,0.04050313585491766,0.04050313585491766,0.10954524769220594,0.026154097740279908,0.009605342449971733,0.03797463319587848,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
SUB2_D,278828,20,20,20,1.0,0.9048158721505731,0.05135586720684965,0.10227831893333378,0.1111375424548525,0.05092245172648413,0.008859223521518717,0.008859223521518717,0.05978167524800285,0.015361939690854311,0.001480240078590158,0.018150981442731914,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
SUB3_D,278828,20,20,20,1.0,0.9597744846285166,0.05263631391436538,0.10763731957650383,0.1099628796271981,0.05500100566213845,0.0023255600506942725,0.0023255600506942725,0.05732656571283272,0.011181467497678574,0.0006936972048906504,0.013154170857926435,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
FREQ1_D,278828,4,4,4,1.0,0.8091296426470799,0.17500269901455076,0.21290380145340052,0.23774594436296143,0.037901102438849754,0.02484214290956091,0.02484214290956091,0.06274324534841066,0.012546414086642803,0.005645208240445026,0.020392427447064036,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
FREQ2_D,278828,4,4,3,1.0,0.9510128107650595,0.05097608015180185,0.08261946410149307,0.11299424779743429,0.03164338394969122,0.030374783695941224,0.030374783695941224,0.06201816764563244,0.0030025930780770934,0.0004872555756267205,0.003748370384158225,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
FREQ3_D,278828,4,4,4,1.0,0.9546709799589711,0.05831184960116729,0.07233057196893931,0.08486777460266128,0.014018722367772025,0.012537202633721961,0.012537202633721961,0.026555925001493987,0.0021438037451318695,0.0015476736512750578,0.004189576637342968,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
FREQ_ATND_SELF_HELP_D,278828,6,6,6,1.0,0.7558889351141206,0.11271389947725673,0.18420264479730575,0.25475416690519664,0.07148874532004902,0.0705515221078909,0.0705515221078909,0.1420402674279399,0.020277126033124492,0.020981643888728092,0.054831953051907,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
SERVICES_D,278828,8,8,8,1.0,0.9837498386101826,0.3295482019900595,0.4821490110053241,0.49305572802982056,0.15260080901526457,0.01090671702449647,0.01090671702449647,0.16350752603976104,0.059358203999067376,0.001079427645661731,0.07208056923023785,2132.0,143441.0,id26_9bin_breakdown,breakdown9_target,coarse6,breakdown9
EMPLOY_D,278828,5,5,5,1.0,0.7872846342548094,0.11190777492384021,0.12376279320513048,0.15022703525498904,0.011855018281290264,0.02646424204985856,0.02646424204985856,0.038319260331148824,0.006022761813838911,0.003741964064013788,0.01165268672666095,2132.0,143441.0,id26_9bin_breakdown,breakdown9_target,coarse6,breakdown9
LIVARAG_D,278828,4,4,4,1.0,0.8501585206650695,0.126024093729309,0.21913543150864945,0.2281769030696572,0.09311133777934044,0.009041471561007763,0.009041471561007763,0.1021528093403482,0.015457343107540997,0.0011555209402114085,0.01955579117721831,2132.0,143441.0,id26_9bin_breakdown,breakdown9_target,coarse6,breakdown9
ARRESTS_D,278828,4,4,4,1.0,0.8756401796089346,0.051826764658384275,0.08691687334925804,0.09918738294202502,0.03509010869087377,0.012270509592766973,0.012270509592766973,0.04736061828364074,0.007355538620076068,0.005172157837746355,0.015173294692625005,2132.0,143441.0,id26_9bin_breakdown,breakdown9_target,coarse6,breakdown9
DETNLF_D,278828,6,6,6,1.0,0.8921055274219232,0.05386808472596889,0.08458380973086312,0.10541109424607485,0.030715725004894223,0.020827284515211736,0.020827284515211736,0.05154300952010596,0.0032023660014723373,0.0051885494011235465,0.00702500498924995,2132.0,143441.0,id26_9bin_breakdown,breakdown9_target,coarse6,breakdown9
SUB1_D,278828,20,20,20,1.0,0.884907541566844,0.10238812715996466,0.16166655544321246,0.2170078435340689,0.059278428283247794,0.05534128809085645,0.05534128809085645,0.11461971637410424,0.01971251952818475,0.009426998648586867,0.030257001314165255,2132.0,143441.0,id26_9bin_breakdown,breakdown9_target,coarse6,breakdown9
SUB2_D,278828,20,20,20,1.0,0.9048158721505731,0.06089646485789978,0.11287520297515195,0.12601965990916547,0.05197873811725217,0.013144456934013518,0.013144456934013518,0.06512319505126568,0.013035999540158973,0.0013368343134279113,0.015386640431616284,2132.0,143441.0,id26_9bin_breakdown,breakdown9_target,coarse6,breakdown9
SUB3_D,278828,20,20,20,1.0,0.9597744846285166,0.06446447485876457,0.11019563248553478,0.11174682140356085,0.045731157626770214,0.0015511889180260668,0.0015511889180260668,0.04728234654479628,0.007845333497532083,0.0006395014912432422,0.00908657495031942,2132.0,143441.0,id26_9bin_breakdown,breakdown9_target,coarse6,breakdown9
FREQ1_D,278828,4,4,4,1.0,0.8091296426470799,0.1738951191028726,0.20502333558310085,0.22638062053507765,0.03112821648022826,0.021357284951976807,0.021357284951976807,0.05248550143220507,0.009597951591426129,0.005230914593526674,0.01585006289598621,2132.0,143441.0,id26_9bin_breakdown,breakdown9_target,coarse6,breakdown9
FREQ2_D,278828,4,4,3,1.0,0.9510128107650595,0.049620564792125364,0.07765127717134676,0.10897408465333709,0.028030712379221397,0.03132280748199033,0.03132280748199033,0.05935351986121173,0.002887974617466284,0.0004615437292159693,0.0035730707144272303,2132.0,143441.0,id26_9bin_breakdown,breakdown9_target,coarse6,breakdown9
FREQ3_D,278828,4,4,4,1.0,0.9546709799589711,0.056497768712919075,0.06176791822501995,0.07577958779200762,0.005270149512100877,0.01401166956698767,0.01401166956698767,0.019281819079088547,0.001654700474660158,0.0014213150544942878,0.0035761227727744665,2132.0,143441.0,id26_9bin_breakdown,breakdown9_target,coarse6,breakdown9
FREQ_ATND_SELF_HELP_D,278828,6,6,6,1.0,0.7558889351141206,0.10233914416386822,0.15166179944657562,0.22133187836922616,0.049322655282707406,0.06967007892265054,0.06967007892265054,0.11899273420535794,0.013439428324345143,0.019223192477039505,0.04353606046763271,2132.0,143441.0,id26_9bin_breakdown,breakdown9_target,coarse6,breakdown9
SERVICES_D,278828,8,8,8,1.0,0.9830217912117865,0.3295482019900595,0.5027380719100223,0.5101157247025017,0.17318986991996277,0.007377652792479372,0.007377652792479372,0.18056752271244214,0.08717834256760101,0.0007590909413137417,0.09311595198303133,1281.0,159699.0,id26_coarse6,coarse6_baseline,coarse6,coarse6
EMPLOY_D,278828,5,5,5,1.0,0.7829809057913839,0.11190777492384021,0.12424359406717461,0.15753700809128943,0.012335819143334398,0.033293414024114815,0.033293414024114815,0.04562923316744921,0.01025483760153189,0.004444987356257364,0.018792420044861615,1281.0,159699.0,id26_coarse6,coarse6_baseline,coarse6,coarse6
LIVARAG_D,278828,4,4,4,1.0,0.8460341142209534,0.126024093729309,0.1925134910847262,0.19693820153732244,0.0664893973554172,0.004424710452596237,0.004424710452596237,0.07091410780801344,0.021012356148520196,0.0014540818745508164,0.027020184393017545,1281.0,159699.0,id26_coarse6,coarse6_baseline,coarse6,coarse6
ARRESTS_D,278828,4,4,4,1.0,0.8722007832785803,0.051826764658384275,0.08257277138565794,0.08673827304446724,0.030746006727273664,0.004165501658809301,0.004165501658809301,0.034911508386082965,0.010697734219067638,0.006407492369621922,0.017798081265741766,1281.0,159699.0,id26_coarse6,coarse6_baseline,coarse6,coarse6
DETNLF_D,278828,6,6,6,1.0,0.8896237106746812,0.05386808472596889,0.09071454300498348,0.11128992697359119,0.03684645827901459,0.02057538396860771,0.02057538396860771,0.0574218422476223,0.0071236495524701245,0.004775120308605576,0.012086707219908448,1281.0,159699.0,id26_coarse6,coarse6_baseline,coarse6,coarse6
SUB1_D,278828,20,20,20,1.0,0.8822248841579755,0.10238812715996466,0.16206505054005904,0.21696177721989346,0.05967692338009438,0.05489672667983442,0.05489672667983442,0.1145736500599288,0.03042010267340395,0.009242150311511465,0.041478929548041686,1281.0,159699.0,id26_coarse6,coarse6_baseline,coarse6,coarse6
SUB2_D,278828,20,20,20,1.0,0.9020220350897328,0.06089646485789978,0.11314106156897648,0.1242439866450446,0.052244596711076695,0.011102925076068124,0.011102925076068124,0.06334752178714481,0.01864802269215693,0.0011101417415124797,0.02097628932180759,1281.0,159699.0,id26_coarse6,coarse6_baseline,coarse6,coarse6
SUB3_D,278828,20,20,20,1.0,0.9591396846801612,0.06446447485876457,0.10370961982171151,0.10394605252191187,0.03924514496294694,0.00023643270020036466,0.00023643270020036466,0.039481577663147305,0.010684958377684753,0.0004909722241436673,0.011293503601994923,1281.0,159699.0,id26_coarse6,coarse6_baseline,coarse6,coarse6
FREQ1_D,278828,4,4,4,1.0,0.8014833517437273,0.1738951191028726,0.19747051857013312,0.22506081371160663,0.023575399467260533,0.027590295141473514,0.027590295141473514,0.05116569460873405,0.0173086060154244,0.007659559279847465,0.032683612764115355,1281.0,159699.0,id26_coarse6,coarse6_baseline,coarse6,coarse6
FREQ2_D,278828,4,4,3,1.0,0.9484807838524109,0.049620564792125364,0.08592226522142504,0.11580462875804781,0.03630170042929968,0.02988236353662277,0.02988236353662277,0.06618406396592244,0.009478423297657213,0.0003840924304618093,0.010095361475608348,1281.0,159699.0,id26_coarse6,coarse6_baseline,coarse6,coarse6
FREQ3_D,278828,4,4,4,1.0,0.951615332749939,0.056497768712919075,0.062306106123654795,0.07419817374596495,0.00580833741073572,0.011892067622310154,0.011892067622310154,0.017700405033045874,0.0018656131213711674,0.0012055166076686663,0.004887061929073955,1281.0,159699.0,id26_coarse6,coarse6_baseline,coarse6,coarse6
FREQ_ATND_SELF_HELP_D,278828,6,6,6,1.0,0.7449467054958613,0.10233914416386822,0.1496258223284808,0.2236104040047425,0.04728667816461257,0.07398458167626171,0.07398458167626171,0.12127125984087428,0.020152222641002745,0.023594131746280424,0.05383183929213735,1281.0,159699.0,id26_coarse6,coarse6_baseline,coarse6,coarse6
