run_name,split,los_basis,los_scheme,los_bin,los_bin_label,support,positive_count,negative_count,positive_rate,accuracy,precision,recall,f1,auc,tn,fp,fn,tp
id26_9bin_breakdown,test,true_los_bin,breakdown9,0,1,45147,17188,27959,0.380711896693025,0.9296520256052451,0.8644023717882034,0.9668955084942984,0.9127807985939473,0.9870090203146047,25352,2607,569,16619
id26_9bin_breakdown,test,true_los_bin,breakdown9,1,2-7,51884,25171,26713,0.4851399275306453,0.792961221185722,0.7380630259033163,0.8886019625759803,0.8063667171389429,0.8942170105202015,18775,7938,2804,22367
id26_9bin_breakdown,test,true_los_bin,breakdown9,2,8-14,19202,8025,11177,0.4179252161233205,0.799916675346318,0.727312248668623,0.8338940809968848,0.7769650528271218,0.8886299886532675,8668,2509,1333,6692
id26_9bin_breakdown,test,true_los_bin,breakdown9,3,15-21,13953,5431,8522,0.3892352899018132,0.8161685658998065,0.7364686468646865,0.8217639477076045,0.7767818292576799,0.8937954451595188,6925,1597,968,4463
id26_9bin_breakdown,test,true_los_bin,breakdown9,4,22-28,16248,9558,6690,0.5882570162481536,0.8239167897587395,0.8841344499254331,0.8063402385436284,0.8434473324213406,0.9035343576202688,5680,1010,1851,7707
id26_9bin_breakdown,test,true_los_bin,breakdown9,5,29-31,22969,10846,12123,0.4722016631111498,0.8150550742304845,0.8384283955683217,0.7535496957403651,0.7937263280567155,0.8957541528851676,10548,1575,2673,8173
id26_9bin_breakdown,test,true_los_bin,breakdown9,6,32-33,34942,16155,18787,0.46233758800297636,0.7593154370099021,0.8120718833105004,0.623769730733519,0.7055734490967651,0.8509269754728261,16455,2332,6078,10077
id26_9bin_breakdown,test,true_los_bin,breakdown9,7,34-35,35475,16383,19092,0.4618181818181818,0.7271881606765328,0.8276805786335647,0.5168772508087652,0.6363568046892613,0.8392741985884481,17329,1763,7915,8468
id26_9bin_breakdown,test,true_los_bin,breakdown9,8,36-37,38708,14967,23741,0.3866642554510695,0.7293324377389687,0.7975086138351445,0.4020845860893967,0.5346244392128993,0.8248290574661529,22213,1528,8949,6018
id26_9bin_breakdown,test,pred_los_bin,breakdown9,0,1,60894,33996,26898,0.558281604098926,0.9549545111176799,0.9802095817583971,0.9382574420520061,0.9587748170191022,0.9852619348498406,26254,644,2099,31897
id26_9bin_breakdown,test,pred_los_bin,breakdown9,1,2-7,55746,30173,25573,0.5412585656369964,0.773723675241273,0.7694337885530151,0.8309415702780631,0.799005704452022,0.8575228402796652,18060,7513,5101,25072
id26_9bin_breakdown,test,pred_los_bin,breakdown9,2,8-14,2998,1561,1437,0.5206804536357572,0.7511674449633089,0.7173333333333334,0.8616271620755925,0.7828870779976718,0.8047013650850119,907,530,216,1345
id26_9bin_breakdown,test,pred_los_bin,breakdown9,3,15-21,2132,931,1201,0.4366791744840525,0.7720450281425891,0.7035681610247027,0.8259935553168636,0.7598814229249012,0.8529420971245767,877,324,162,769
id26_9bin_breakdown,test,pred_los_bin,breakdown9,4,22-28,13612,8399,5213,0.6170290919776668,0.6993828974434323,0.7092605189000097,0.869032027622336,0.7810593900481541,0.7305481682150143,2221,2992,1100,7299
id26_9bin_breakdown,test,pred_los_bin,breakdown9,5,29-31,10808,6001,4807,0.5552368615840119,0.689859363434493,0.7036126056879324,0.7627062156307282,0.7319686550455782,0.7595661973957811,2879,1928,1424,4577
id26_9bin_breakdown,test,pred_los_bin,breakdown9,6,32-33,38786,14952,23834,0.3854999226525035,0.7354457794049399,0.7003159962422069,0.5484216158373462,0.6151307152769964,0.8039305243086511,20325,3509,6752,8200
id26_9bin_breakdown,test,pred_los_bin,breakdown9,7,34-35,35361,13411,21950,0.3792596363225022,0.7048160402703544,0.6523833931317273,0.474535828797256,0.5494258827592161,0.7645253233627106,18559,3391,7047,6364
id26_9bin_breakdown,test,pred_los_bin,breakdown9,8,36-37,58191,14300,43891,0.24574246876664776,0.8063789933151174,0.7139229792636479,0.3539160839160839,0.47323390527841414,0.8138758085231167,41863,2028,9239,5061
id26_coarse6,test,true_los_bin,coarse6,0,1,45147,17188,27959,0.380711896693025,0.9246018561587702,0.8543809132044426,0.9667209681172911,0.9070859264111802,0.986657041895259,25127,2832,572,16616
id26_coarse6,test,true_los_bin,coarse6,1,2-7,51884,25171,26713,0.4851399275306453,0.7879500424022821,0.7279220152494933,0.8988915815819792,0.8044227966011306,0.892673731338484,18256,8457,2545,22626
id26_coarse6,test,true_los_bin,coarse6,2,8-14,19202,8025,11177,0.4179252161233205,0.796896156650349,0.7156299006795609,0.8529595015576324,0.778283115406481,0.8879813491044833,8457,2720,1180,6845
id26_coarse6,test,true_los_bin,coarse6,3,15-21,13953,5431,8522,0.3892352899018132,0.8127284454955923,0.7247208931419458,0.836678328116369,0.7766857533544141,0.8953601347467197,6796,1726,887,4544
id26_coarse6,test,true_los_bin,coarse6,4,22-28,16248,9558,6690,0.5882570162481536,0.8295790251107829,0.8762052532417156,0.8271604938271605,0.8509768042624186,0.9044633487752064,5573,1117,1652,7906
id26_coarse6,test,true_los_bin,coarse6,5,29-37,132094,58351,73743,0.44173845897618363,0.7529108059412237,0.8106514595012565,0.5749344484241915,0.6727427683360906,0.8442771853040794,65907,7836,24803,33548
id26_coarse6,test,pred_los_bin,coarse6,0,1,52978,28317,24661,0.534504888821775,0.9602098984484125,0.9844009906479873,0.9404597944697531,0.9619288423333935,0.9855025407727571,24239,422,1686,26631
id26_coarse6,test,pred_los_bin,coarse6,1,2-7,50010,28183,21827,0.5635472905418917,0.7827034593081383,0.7659581003870493,0.884753220026257,0.8210810543820076,0.8586319713996551,14208,7619,3248,24935
id26_coarse6,test,pred_los_bin,coarse6,2,8-14,1309,624,685,0.4766997708174179,0.7639419404125286,0.7154582763337893,0.8381410256410257,0.7719557195571956,0.8346387797117725,477,208,101,523
id26_coarse6,test,pred_los_bin,coarse6,3,15-21,1281,800,481,0.624512099921936,0.6838407494145199,0.6768128916741272,0.945,0.7887323943661971,0.6701546257796257,120,361,44,756
id26_coarse6,test,pred_los_bin,coarse6,4,22-28,13548,8206,5342,0.605698258045468,0.7033510481251846,0.7003924571647363,0.891664635632464,0.7845386801050769,0.7430067903305677,2212,3130,889,7317
id26_coarse6,test,pred_los_bin,coarse6,5,29-37,159402,57594,101808,0.36131290698987467,0.7577257499905898,0.7114394597847162,0.5542764871340765,0.6231005709266579,0.8223287251829152,88860,12948,25671,31923
